,city_num,city,country,date,humidity,cloudiness,lat,long,maxtemp,windspeed
345,375,Nishihara,JP,1619458653,64,1,26.1842,127.7558,293.15,2.06
348,378,Kadiri,IN,1619458654,48,3,14.1167,78.1667,301.99,2.95
349,379,Chara,RU,1619458655,89,100,56.9064,118.2631,271.33,2.55
350,380,College,US,1619458655,49,75,64.8569,-147.8028,279.26,0.85
351,381,Sambava,MG,1619458656,87,29,-14.2667,50.1667,298.17,4.47
352,382,Khor,RU,1619458656,42,19,47.8861,134.9464,278.29,2.61
353,383,Velika Plana,RS,1619458657,44,0,44.3339,21.0768,289.15,2.06
354,384,Ierissos,GR,1619458524,84,11,40.4,23.8833,287.59,0.89
355,385,Bandarbeyla,SO,1619458657,71,77,9.4942,50.8122,301.84,3.48
356,386,Flinders,AU,1619458658,87,7,-34.5833,150.8552,285.93,0.45
358,388,Lavrentiya,RU,1619458659,82,78,65.5833,-171.0,268.48,1.39
359,389,Mackay,AU,1619458659,88,6,-21.15,149.2,289.15,2.57
360,391,Great Bend,US,1619458660,34,1,38.3645,-98.7648,303.15,7.72
361,392,Zhuhai,CN,1619458660,88,40,22.2769,113.5678,297.15,6.17
362,393,Nalvo,PH,1619458661,83,69,16.8096,120.5108,295.95,1.33
363,394,Yigou,CN,1619458661,53,35,35.8114,114.3167,288.54,2.76
364,395,Panacan,PH,1619458662,83,72,9.2463,118.4082,299.76,2.94
365,396,Chu,KZ,1619458662,37,68,43.5983,73.7614,286.01,2.88
366,397,Aripuanã,BR,1619458499,73,78,-9.1667,-60.6333,302.07,1.15
367,398,Shingū,JP,1619458663,62,64,33.7333,135.9833,281.85,2.35
368,399,La Ronge,CA,1619458663,29,64,55.1001,-105.2842,281.15,2.06
369,400,Turan,VN,1619458664,89,40,16.0678,108.2208,300.15,2.06
370,401,Berlevåg,NO,1619458664,64,40,70.8578,29.0864,275.15,6.17
371,402,Ouro Preto do Oeste,BR,1619458665,78,97,-10.7481,-62.2158,299.55,3.04
372,403,Vágur,FO,1619458665,89,100,61.4732,-6.8119,279.54,12.15
373,405,Guasdualito,VE,1619458666,55,99,7.2424,-70.7324,305.15,3.09
374,406,Santa Cruz del Norte,CU,1619458666,51,40,23.1539,-81.9236,305.15,5.66
376,408,Dhidhdhoo,MV,1619458667,71,22,6.8833,73.1,302.31,2.29
377,409,Capinzal,BR,1619458668,41,32,-27.3436,-51.6119,295.3,1.75
378,410,Gusau,NG,1619458668,11,42,12.1628,6.6614,310.59,2.93
379,411,Palmer,US,1619458669,28,20,42.1584,-72.3287,284.26,7.72
380,412,Biak,ID,1619458669,83,76,-0.9131,122.8766,297.45,2.23
381,413,Chui,UY,1619458670,54,40,-33.6971,-53.4616,292.35,5.05
382,414,Itaperuçu,BR,1619458670,64,40,-25.22,-49.3478,295.15,2.57
383,415,Taltal,CL,1619458455,68,14,-25.4,-70.4833,292.54,1.82
384,416,Newport,GB,1619458671,47,47,51.5877,-2.9984,287.59,4.12
385,417,Selaphum,TH,1619458671,81,100,16.0299,103.9383,297.83,2.13
386,418,Olavarría,AR,1619458672,58,3,-36.8927,-60.3225,291.22,2.59
387,419,Himatnagar,IN,1619458672,30,19,23.6,72.95,304.15,2.06
388,420,Kamphaeng Phet,TH,1619458673,70,100,16.25,99.5,300.94,1.31
389,424,Anloga,GH,1619458673,74,20,5.7947,0.8973,304.15,5.14
390,425,Soyo,AO,1619458674,84,77,-6.1349,12.3689,300.22,2.81
391,426,Toro,CO,1619458674,70,100,4.6117,-76.0814,299.8,1.18
392,427,Half Moon Bay,US,1619458617,82,20,37.4636,-122.4286,287.04,3.09
393,428,Madera,US,1619458675,72,35,37.1666,-119.8343,286.48,0.45
394,429,Olinda,BR,1619458676,65,40,-8.0089,-34.8553,301.15,4.12
395,430,Chimbote,PE,1619458676,71,17,-9.0853,-78.5783,295.8,5.35
396,431,Gawler,AU,1619458677,77,0,-34.6,138.7333,285.93,3.13
397,432,Murgab,TM,1619458677,33,2,37.4966,61.9714,298.15,2.06
398,433,Den Helder,NL,1619458677,71,90,52.9599,4.7593,281.15,6.17
399,434,Calbuco,CL,1619458678,63,20,-41.768,-73.1273,289.15,3.6
401,436,Santa Maria,BR,1619458679,52,75,-29.6842,-53.8069,294.15,1.54
402,437,Marawi,PH,1619458617,89,96,7.9986,124.2928,297.04,1.79
404,439,Mogadishu,SO,1619458680,75,92,2.0371,45.3438,301.87,5.57
405,440,Būlaevo,KZ,1619458681,43,59,54.9056,70.4439,281.04,2.97
